,Unnamed: 0,CASENUM,non_motorist,CASENUM_VEH_NO,distraction,region,weight,person involved,age,sex,alcohol,dow,hr,interstate hwy,population class,collision,injury,min,month,specific location,relation to road,intersection type,work zone,year,speed,speed limit,crash type,make,lanes,vehicle occupants,area of impact,distracted_binary
3262,3262,201011173567.0,0,201011173567.01.0,0.0,1.0,52.18600000000001,1.0,15_24,F,96.0,5.0,afternoon,0.0,3.0,rear_end,possible,49.0,6.0,1.0,roadway,0.0,0.0,2010.0,0.0,35_45,21.0,12.0,2.0,2,26.0,0
3263,3263,201011173567.0,0,201011173567.02.0,97.0,1.0,52.18600000000001,1.0,15_24,F,96.0,5.0,afternoon,0.0,3.0,rear_end,possible,49.0,6.0,1.0,roadway,0.0,0.0,2010.0,998.0,35_45,20.0,7.0,2.0,1,26.0,1
3264,3264,201011173571.0,0,201011173571.01.0,3.0,1.0,54.273,1.0,over_65,M,97.0,6.0,afternoon_rush,0.0,8.0,not_motor_vehicle,non_incap,42.0,6.0,1.0,roadside,0.0,0.0,2010.0,998.0,45_55,1.0,23.0,2.0,2,55.0,1
3265,3265,201011173572.0,0,201011173572.01.0,3.0,1.0,130.465,1.0,35_44,F,96.0,5.0,afternoon,0.0,3.0,rear_end,none,19.0,6.0,3.0,roadway,2.0,0.0,2010.0,998.0,25_35,20.0,12.0,2.0,2,32.0,1
3266,3266,201011173572.0,0,201011173572.02.0,0.0,1.0,130.465,1.0,25_34,F,96.0,5.0,afternoon,0.0,3.0,rear_end,none,19.0,6.0,3.0,roadway,2.0,0.0,2010.0,0.0,25_35,21.0,49.0,2.0,1,32.0,0
3267,3267,201011173572.0,0,201011173572.03.0,0.0,1.0,130.465,1.0,15_24,M,96.0,5.0,afternoon,0.0,3.0,rear_end,none,19.0,6.0,3.0,roadway,2.0,0.0,2010.0,0.0,25_35,98.0,37.0,2.0,1,32.0,0
3268,3268,201011173583.0,0,201011173583.01.0,0.0,1.0,300.07,1.0,35_44,M,96.0,7.0,morning_rush,0.0,3.0,side_swipe,none,35.0,6.0,1.0,roadway,0.0,0.0,2010.0,998.0,25_35,45.0,20.0,2.0,2,21.0,0
3269,3269,201011173583.0,0,201011173583.02.0,1.0,1.0,300.07,1.0,45_64,M,96.0,7.0,morning_rush,0.0,3.0,side_swipe,none,35.0,6.0,1.0,roadway,0.0,0.0,2010.0,998.0,25_35,47.0,7.0,2.0,2,21.0,1
3270,3270,201011173604.0,0,201011173604.01.0,0.0,1.0,52.18600000000001,1.0,45_64,F,96.0,6.0,afternoon,0.0,3.0,side_swipe,possible,6.0,6.0,8.0,roadway,0.0,0.0,2010.0,0.0,35_45,48.0,20.0,2.0,2,25.0,0
3271,3271,201011173604.0,0,201011173604.02.0,1.0,1.0,52.18600000000001,1.0,15_24,M,96.0,6.0,afternoon,0.0,3.0,side_swipe,possible,6.0,6.0,8.0,roadway,0.0,0.0,2010.0,998.0,35_45,48.0,12.0,2.0,2,25.0,1
3272,3272,201011173612.0,0,201011173612.01.0,97.0,1.0,130.465,1.0,15_24,M,96.0,1.0,late_night,0.0,3.0,not_motor_vehicle,non_incap,24.0,6.0,3.0,roadside,5.0,0.0,2010.0,998.0,15_25,2.0,12.0,2.0,1,55.0,1
3273,3273,201011173625.0,0,201011173625.01.0,0.0,1.0,130.465,1.0,45_64,M,96.0,6.0,morning_rush,0.0,3.0,angle,none,40.0,6.0,8.0,roadway,0.0,0.0,2010.0,998.0,35_45,84.0,20.0,2.0,1,29.0,0
3274,3274,201011173625.0,0,201011173625.02.0,1.0,1.0,130.465,1.0,25_34,M,96.0,6.0,morning_rush,0.0,3.0,angle,none,40.0,6.0,8.0,roadway,0.0,0.0,2010.0,998.0,0.0,84.0,7.0,8.0,1,29.0,1
